[reporter],Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,
,4.788846019,5.02808642,4.298804781,4.407534247,5.342436975,3.845776031,4.621546961,5.260572988,5.73842501,4.356382979,5.621251388,3.842922374,4.021428571,3.36035313,4.83450314,4.346153846,5.108728943,5.449104618,4.670854271,3.565261044,5.21010425,5.135294118,4.992384908,5.254830478,4.306182532,6.146161935,7.760470453,5.097652582,4.865291795,4.252544529,3.240963855,3.33882149,3.668032787,5.401971137,5.244504667,3.857754011,4.183098592,4.074099252,3.91350211,4.628085106,5.44076999,4.602242392,4.445778146,4.483288166,3.155709343,4.561239193,4.814581791,4.707384132,5.461560528,4.395998139,4.662985523
,4.790964983,4.495222169,4.233903577,4.659863946,4.829827514,4.953369906,4.518646409,5.299291752,5.29675252,5.561255484,5.228317659,4.163863109,4.208399366,4.401986024,4.860765667,4.007684426,6.492277228,4.435018663,4.55448525,5.607205624,5.207524752,5.075032342,5.503133393,4.755350853,4.937059284,4.782190132,6.626881055,5.34231633,4.429927238,5.405517241,4.046455505,3.9945,4.134529148,5.627362543,5.363532372,5.915820417,4.908791435,4.85380117,5.477559796,4.687408277,4.477893368,5.16653481,4.261750881,4.590778786,5.176451296,4.787265918,4.795307039,4.743351886,5.301973684,4.390977444,4.907321593
,4.502626263,4.391734052,4.223113208,4.51659292,4.47845648,4.994204914,4.34159029,5.283944331,4.209297984,4.782696686,5.121611722,4.533277731,6.307361634,4.424432082,4.728718247,3.820359281,5.505356311,4.140913508,4.410874808,4.639668933,5.120259166,5.468218442,4.559418786,4.46039604,4.98413291,4.70567609,5.947554698,4.219767166,4.466376944,6.100737101,3.97089885,5.71777891,4.472871287,5.433007297,5.124635993,5.617430124,5.195925704,5.01125995,4.876556777,3.901118176,4.13652034,4.552190373,4.382934872,4.513736264,5.272210066,4.605184271,4.346022078,4.878099174,4.934226768,4.298329356,4.772606107
,4.086405338,4.217490386,4.234599156,4.180165289,4.333505354,5.082234164,5.096701649,4.692614202,4.08312263,5.343044539,4.881818182,4.471411435,5.317806452,4.320934112,4.20382065,4.629876626,4.764279465,3.993376298,4.237735242,4.762138785,4.303096774,5.224316522,4.345269841,4.301349325,4.64789916,4.631958088,4.968126984,4.026461295,4.443128753,5.175746032,3.813333333,4.741842214,4.393592677,4.706193548,4.899250375,5.186277554,4.617404987,4.709445277,4.735682159,4.075752872,4.419508705,4.657097847,4.457052916,4.347038019,5.294985251,4.56430761,4.437865387,4.312869094,4.330534453,4.380422328,4.561617787
,4.027089671,4.217471737,4.191186676,4.118954248,4.187822916,4.741323792,4.935292777,4.524387425,3.858953168,5.013159592,4.612389182,4.481222892,4.521561772,3.989025877,3.980332445,4.163801146,4.546586518,3.853166714,4.248153082,4.596881272,4.154130456,4.375812568,4.167973856,4.000369094,4.2330734,4.467128434,4.683333333,4.308765653,4.300249115,4.556423433,4.1986733,4.536317108,4.395467109,4.366036926,4.876705991,4.980443596,4.410537249,4.661426293,4.564768056,3.916402699,4.253666116,4.266590534,4.136126923,4.313322278,5.260011744,4.185232201,4.313644904,4.161192785,4.014581909,4.249295444,4.362329308
,4.069128381,4.166008224,4.125524182,3.908992416,4.144570342,4.294095418,4.186877395,4.274805006,3.682325308,4.389866896,4.47586267,4.283540116,4.303493789,3.718027011,3.799184724,3.99668325,4.32397351,3.721151558,4.271679577,4.328432906,4.20036807,4.297800338,3.996645233,3.993414387,4.337313908,3.988285309,4.255260824,4.053087757,4.170781451,4.246818025,3.921993499,4.279379737,4.091503268,4.277335568,4.319858156,4.640735793,4.123397819,4.38966589,4.285936286,3.868155296,4.29157831,4.253746456,4.005712597,4.044984802,4.644685876,4.069573443,3.970125931,4.047643619,3.794934144,3.795253102,4.142403952
,3.769674067,4.049615056,4.159660683,3.773047816,3.926021622,4.161402712,4.103612815,4.004481132,3.764846743,4.31104034,4.154197217,3.967257945,4.172413793,3.779249448,3.602402906,3.974844796,4.157203665,3.75333147,4.239840515,4.02382134,3.798393914,4.277878084,3.895705521,4.018867925,4.121912625,3.739750446,4.010811914,3.869675981,4.013157895,4.069980521,3.834243176,4.07891663,4.02621259,4.040515141,3.921826625,4.280312802,3.962328085,4.209384826,3.996576706,3.767448103,3.961802658,3.940072999,4.06845728,3.952908805,4.490947179,3.937378423,3.821186714,3.771084337,3.777804998,3.702009759,3.984110375
,3.745588124,3.791475739,3.98029019,3.700515996,3.867869103,3.958721291,3.967792208,3.852467532,3.75725214,4.043438914,3.954096045,3.733971165,3.974658869,3.703351788,3.724806202,3.860868396,3.829429315,3.698629099,3.944213566,3.917701149,3.713264877,4.176533121,3.606827145,3.929422719,3.911845061,3.596129974,4.046258503,3.831639094,4.070716689,3.877311248,3.585827313,3.918293432,3.802885206,3.826674501,3.797476476,4.022914259,3.77291485,4.087922078,3.820327184,3.854358492,3.856410536,3.857550993,3.914804828,3.830893683,4.146338259,3.774778325,3.74250357,3.673766234,3.717971251,3.612616951,3.847686274
,3.581561748,3.580388307,3.833246149,3.577673325,3.582638421,3.728084606,3.781316099,3.656258985,3.559962793,4.014703425,3.682595377,3.576592806,3.813383085,3.541758023,3.56635973,3.800204801,3.655973266,3.665452409,3.751887545,3.814308229,3.576532815,3.93514682,3.475259547,3.738155013,3.747695017,3.492937853,3.772342995,3.778396938,3.841826789,3.531126872,3.456672992,3.854708381,3.608632693,3.698240501,3.591111669,3.860453082,3.585355538,3.943499127,3.705458476,3.705370349,3.7484881,3.815483152,3.822207679,3.631712259,3.867218282,3.723626853,3.658504663,3.573173477,3.633893635,3.616964989,3.695090914
,3.414065679,3.538414286,3.823648047,3.484594691,3.523518469,3.58730837,3.611546941,3.519048352,3.467770686,3.782476912,3.605118915,3.540895522,3.609478673,3.474749127,3.494129108,3.620882189,3.533880597,3.537510467,3.607133119,3.681407035,3.50314942,3.773179322,3.316204071,3.604878049,3.589486147,3.372598162,3.574978467,3.572153735,3.726260952,3.458608883,3.380658863,3.588091822,3.535883319,3.570501878,3.469005848,3.667711443,3.481840966,3.636864889,3.545066926,3.564220889,3.615995667,3.574070237,3.641996154,3.566249238,3.636004487,3.609154229,3.577311462,3.572152999,3.449348804,3.41213481,3.560866786
,3.335230477,3.389921843,3.618610747,3.349983584,3.408421997,3.486306676,3.456495985,3.3305576,3.391625616,3.635948526,3.43735076,3.432799785,3.423076923,3.425956893,3.334622908,3.499977432,3.238107893,3.492918446,3.484427474,3.451537936,3.436806622,3.668706294,3.311454887,3.462397024,3.499898088,3.334926596,3.466998995,3.42933875,3.496636908,3.296196649,3.243890999,3.458742463,3.412926155,3.46062042,3.299030918,3.516520507,3.393124066,3.461168244,3.423536989,3.387316633,3.514189927,3.384526224,3.466168535,3.469026549,3.491271621,3.463823439,3.536197592,3.405285942,3.288615805,3.268767659,3.42743982
,3.303890459,3.260951606,3.465047995,3.274918928,3.295379907,3.409633248,3.363861195,3.181694776,3.281694776,3.511914173,3.361338425,3.329535814,3.310631164,3.355541719,3.277846791,3.327807487,3.17011415,3.363747797,3.377116372,3.327807487,3.32721622,3.506566304,3.283029901,3.334200833,3.386899563,3.274172409,3.322212687,3.318291142,3.416511374,3.19657444,3.25998964,3.327698413,3.274346745,3.266391952,3.171788742,3.462025565,3.26135661,3.376017463,3.293010753,3.34072763,3.372231207,3.245263697,3.329811819,3.24223028,3.308664675,3.304000597,3.464528356,3.319151403,3.196772356,3.194873742,3.318540616
,3.182760906,3.131788437,3.31092437,3.163850389,3.14617556,3.221733018,3.293473455,3.12086864,3.181258397,3.378505833,3.272561055,3.212150363,3.193688982,3.245506391,3.179675543,3.222863325,3.14399919,3.222821577,3.203282557,3.238968748,3.221817446,3.442733502,3.1689814,3.160008804,3.282635983,3.197017907,3.248353414,3.175996417,3.279548473,3.130048409,3.154322268,3.262816776,3.218221495,3.18204248,3.140231631,3.366503001,3.158585958,3.186825726,3.212890336,3.259344852,3.212445721,3.17884944,3.252559384,3.167199948,3.201646091,3.210684647,3.310200803,3.259590028,3.105013831,3.112856212,3.214536582
,3.103941909,3.042859348,3.124722476,3.063746,3.033845058,3.144234884,3.232260493,3.044494024,3.111073938,3.230894309,3.196581964,3.070363624,3.132599708,3.082451391,3.044225203,3.133656741,3.098583414,3.112502371,3.089002995,3.139165926,3.08548083,3.333827063,3.034923143,3.121028112,3.14335743,3.018451056,3.10604292,3.089624233,3.128555485,3.014554217,3.033286722,3.066353366,3.122077837,3.116337349,3.092167466,3.256105721,3.003921447,3.100430978,3.086011631,3.096764559,3.103064487,3.105912863,3.105752119,3.050251863,3.114781354,3.138741036,3.170103244,3.155114998,3.015402472,3.030250032,3.105397636
,3.05060985,2.917064545,2.971637889,2.99546988,2.992567181,3.098261126,3.101137726,2.838437016,3.037040389,3.076150876,3.070860698,2.988060588,2.997141224,3.007367356,2.97724414,3.033750193,2.978424934,2.992547365,3.013139385,3.007808765,3.023929506,3.244945476,2.993852094,3.025231211,3.078977157,2.947490347,2.98887512,2.998599483,3.00383076,2.904692605,2.893800539,3.004059463,3.040405854,3.000957827,2.990071893,3.147832311,2.941178078,2.991084559,2.989031863,3.02328323,2.954059977,3.023585657,3.009884261,2.942176195,3.033990091,3.043409379,3.023589916,3.0320333,2.908197949,2.951905494,3.005993654
,2.93970776,2.854519104,2.895322336,2.903960426,2.878528334,2.968928591,2.964958316,2.801300597,2.943144378,2.972147055,2.98982368,2.889762306,2.923245958,2.914966267,2.865902789,2.814875437,2.910403465,2.863583487,2.919950434,2.901582288,2.906294319,3.065881685,2.875270488,2.912599922,2.970507038,2.87944664,2.911667514,2.912415889,2.90307644,2.802667045,2.802096881,2.939386805,2.91011491,2.932490119,2.899544307,3.001579363,2.86101083,2.899588594,2.926118684,2.893557423,2.877196038,2.98868113,2.854678169,2.830773822,2.936205534,2.953311214,2.843431173,2.900190061,2.840191439,2.851469181,2.903961113
,2.825616073,2.745780376,2.834096452,2.831631804,2.745596518,2.891225867,2.872927464,2.709625243,2.848687115,2.843162176,2.887817683,2.799308756,2.82975561,2.808066904,2.759966157,2.761732942,2.811032028,2.76751502,2.791522738,2.776711767,2.823433958,2.921880552,2.743159106,2.798121697,2.886978008,2.79193283,2.777818673,2.81484895,2.775518837,2.73837704,2.676574501,2.793311103,2.809449066,2.800938896,2.795718472,2.889211531,2.7803064,2.819522115,2.822444428,2.79005183,2.774099884,2.858858167,2.771946971,2.740667828,2.814032645,2.843395233,2.716045389,2.83046595,2.721385124,2.738295348,2.800011385
,2.697584614,2.670031994,2.732047085,2.745878136,2.633690764,2.806299964,2.672668795,2.632255007,2.771821965,2.740350877,2.76432553,2.6837934,2.588426747,2.736842105,2.651982164,2.656454248,2.686835971,2.702398282,2.676636127,2.730822244,2.7296767,2.824023256,2.659286682,2.691873318,2.762110727,2.697267382,2.681148392,2.756007522,2.66699846,2.647554489,2.616193312,2.681214643,2.723934602,2.731029969,2.730220999,2.779960465,2.686461423,2.746362274,2.738538062,2.692257785,2.680039934,2.759781965,2.658052652,2.635380372,2.711421911,2.728616485,2.632597542,2.753330509,2.655710879,2.6345396,2.701454767
,2.660972137,2.575985076,2.619716729,2.656710446,2.532380952,2.697322391,2.491548484,2.587259545,2.674811175,2.65774164,2.688503161,2.615726969,2.526989297,2.678281698,2.549383143,2.60500319,2.6358936,2.607483558,2.624374374,2.642644076,2.590433385,2.686195047,2.603755678,2.602244617,2.646464646,2.623076923,2.582913467,2.66055371,2.590199996,2.577061011,2.527640264,2.584347826,2.624269484,2.637213703,2.658324168,2.7503233,2.579623477,2.643846378,2.6400696,2.593953275,2.59046935,2.685705485,2.600030802,2.585471835,2.660007632,2.636168328,2.53742578,2.653067553,2.593032151,2.562835563,2.616709122
,2.564573563,2.505089467,2.533826208,2.569415494,2.485397723,2.610821815,2.459314143,2.507484901,2.572927977,2.506393023,2.574836635,2.534544183,2.44911581,2.60567909,2.478351146,2.548947205,2.546723635,2.536964653,2.525847176,2.574684825,2.523890405,2.600457902,2.519189971,2.542419372,2.57809129,2.550048216,2.507208796,2.559752951,2.513380597,2.513995383,2.477739302,2.508185625,2.390892279,2.552410373,2.572927977,2.681166544,2.513004833,2.568890393,2.551355406,2.527461695,2.48679868,2.618462815,2.507944462,2.510436474,2.564744702,2.557641949,2.485498219,2.555747163,2.518676271,2.501017893,2.535007532
,2.489515721,2.433464766,2.464156155,2.506740045,2.26538354,2.512475206,2.39488004,2.443336521,2.494982387,2.454028531,2.459104236,2.434757616,2.387060294,2.515959859,2.403471643,2.477488245,2.457601595,2.453465943,2.446999451,2.482895965,2.410462382,2.537097358,2.393329971,2.441277795,2.49146334,2.484238196,2.439699533,2.47186331,2.443126894,2.411332508,2.402290536,2.444966847,2.351187949,2.463634392,2.508237894,2.552860502,2.421398433,2.473558368,2.46483575,2.45302391,2.414942877,2.505158625,2.42947844,2.423588924,2.475116736,2.471907297,2.42462845,2.493990337,2.435570818,2.431203536,2.450864793
,2.411038489,2.349725705,2.386921413,2.322575028,2.221294925,2.440908178,2.335246865,2.391335092,2.419167586,2.383274922,2.37439291,2.362326703,2.318308559,2.405077867,2.318546484,2.399629247,2.396554045,2.371190124,2.367756945,2.421140282,2.34962963,2.460796484,2.342292138,2.382179632,2.411525798,2.392971184,2.353145344,2.392460716,2.357464336,2.334890966,2.338326635,2.375960217,2.296093486,2.388957055,2.42278605,2.454589158,2.339018692,2.401941673,2.364333347,2.364291277,2.349625588,2.414626842,2.359673508,2.332075618,2.399571651,2.421225699,2.339126639,2.397547367,2.353954057,2.351902775,2.372787899
