BehaviorSpace results (NetLogo 6.3.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version-6_1.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
experiment-10-Connection-v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/27/2023 16:42:04:708 +0530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-10,10,-10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[run number],1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,
,1.523404255,1.514893617,1.540425532,1.540425532,1.591489362,1.65106383,1.489361702,1.523404255,1.574468085,1.574468085,1.617021277,1.54893617,1.523404255,1.523404255,1.531914894,1.565957447,1.531914894,1.489361702,1.489361702,1.54893617,1.489361702,1.557446809,1.540425532,1.514893617,1.489361702,1.617021277,1.514893617,1.531914894,1.54893617,1.557446809,1.591489362,1.617021277,1.557446809,1.514893617,1.574468085,1.591489362,1.514893617,1.514893617,1.54893617,1.489361702,1.565957447,1.574468085,1.557446809,1.523404255,1.557446809,1.617021277,1.574468085,1.531914894,1.54893617,1.540425532,1.547234043
,1.775,1.725,1.733333333,1.733333333,1.808333333,1.875,1.683333333,1.716666667,1.775,1.775,1.833333333,1.741666667,1.733333333,1.716666667,1.741666667,1.8,1.741666667,1.7,1.716666667,1.741666667,1.7,1.775,1.758333333,1.708333333,1.683333333,1.816666667,1.708333333,1.725,1.783333333,1.775,1.791666667,1.816666667,1.758333333,1.725,1.791666667,1.791666667,1.766666667,1.708333333,1.766666667,1.7,1.816666667,1.775,1.775,1.716666667,1.775,1.833333333,1.808333333,1.741666667,1.741666667,1.758333333,1.757166667
,2.008163265,1.967346939,1.959183673,1.959183673,2.040816327,2.097959184,1.910204082,1.942857143,2.008163265,2.008163265,2.048979592,1.967346939,2.016326531,1.942857143,1.951020408,2.032653061,1.967346939,1.910204082,1.942857143,1.991836735,1.910204082,1.991836735,1.991836735,1.918367347,1.885714286,2.065306122,1.918367347,2.008163265,2.016326531,1.991836735,2.040816327,2.065306122,2.008163265,1.934693878,2.057142857,2.024489796,1.975510204,1.918367347,2,1.975510204,2.032653061,2.008163265,2.008163265,1.942857143,2.008163265,2.065306122,2.040816327,1.967346939,1.967346939,1.967346939,1.987591837
,2.312,2.232,2.184,2.24,2.272,2.352,2.2,2.184,2.24,2.256,2.336,2.192,2.264,2.168,2.232,2.28,2.192,2.136,2.168,2.24,2.152,2.24,2.272,2.144,2.104,2.32,2.16,2.24,2.264,2.256,2.288,2.32,2.272,2.16,2.288,2.256,2.256,2.176,2.248,2.272,2.264,2.272,2.256,2.184,2.272,2.352,2.272,2.216,2.216,2.232,2.23808
,2.580392157,2.478431373,2.462745098,2.541176471,2.525490196,2.62745098,2.462745098,2.517647059,2.541176471,2.501960784,2.588235294,2.439215686,2.517647059,2.407843137,2.478431373,2.533333333,2.470588235,2.392156863,2.431372549,2.48627451,2.407843137,2.48627451,2.541176471,2.415686275,2.345098039,2.57254902,2.415686275,2.556862745,2.549019608,2.541176471,2.541176471,2.611764706,2.541176471,2.4,2.541176471,2.525490196,2.501960784,2.470588235,2.517647059,2.541176471,2.517647059,2.525490196,2.501960784,2.462745098,2.525490196,2.611764706,2.541176471,2.478431373,2.478431373,2.478431373,2.502588235
,2.869230769,2.776923077,2.761538462,2.815384615,2.830769231,2.923076923,2.746153846,2.892307692,2.815384615,2.784615385,2.876923077,2.723076923,2.853846154,2.669230769,2.776923077,2.838461538,2.738461538,2.653846154,2.746153846,2.784615385,2.7,2.784615385,2.861538462,2.676923077,2.638461538,2.846153846,2.707692308,2.9,2.838461538,2.830769231,2.815384615,2.923076923,2.876923077,2.730769231,2.830769231,2.830769231,2.784615385,2.784615385,2.784615385,2.9,2.807692308,2.792307692,2.784615385,2.746153846,2.830769231,2.892307692,2.861538462,2.761538462,2.792307692,2.792307692,2.799692308
,3.169811321,3.064150943,3.049056604,3.109433962,3.177358491,3.237735849,3.101886792,3.19245283,3.124528302,3.094339623,3.177358491,3.026415094,3.169811321,2.950943396,3.064150943,3.169811321,3.109433962,2.935849057,3.033962264,3.109433962,2.981132075,3.094339623,3.177358491,2.988679245,2.950943396,3.19245283,3.011320755,3.21509434,3.169811321,3.124528302,3.109433962,3.290566038,3.19245283,3.018867925,3.20754717,3.154716981,3.124528302,3.071698113,3.094339623,3.2,3.132075472,3.086792453,3.109433962,3.033962264,3.154716981,3.275471698,3.177358491,3.116981132,3.101886792,3.116981132,3.114867925
,3.488888889,3.407407407,3.422222222,3.444444444,3.518518519,3.577777778,3.481481481,3.518518519,3.444444444,3.422222222,3.496296296,3.355555556,3.488888889,3.288888889,3.392592593,3.525925926,3.444444444,3.274074074,3.392592593,3.459259259,3.288888889,3.444444444,3.533333333,3.296296296,3.274074074,3.533333333,3.333333333,3.57037037,3.503703704,3.474074074,3.459259259,3.622222222,3.6,3.362962963,3.533333333,3.488888889,3.474074074,3.437037037,3.444444444,3.525925926,3.466666667,3.4,3.422222222,3.362962963,3.503703704,3.666666667,3.496296296,3.481481481,3.481481481,3.496296296,3.456444444
,3.854545455,3.781818182,3.76,3.789090909,3.869090909,4.029090909,3.861818182,3.883636364,3.789090909,3.781818182,3.905454545,3.694545455,3.854545455,3.650909091,3.745454545,3.890909091,3.803636364,3.665454545,3.76,3.818181818,3.665454545,3.818181818,3.949090909,3.658181818,3.665454545,3.934545455,3.701818182,3.92,3.869090909,3.854545455,3.832727273,3.978181818,3.956363636,3.730909091,3.898181818,3.869090909,3.818181818,3.825454545,3.803636364,3.890909091,3.84,3.752727273,3.796363636,3.701818182,3.854545455,4.058181818,3.861818182,3.84,3.861818182,3.905454545,3.826036364
,4.228571429,4.15,4.192857143,4.192857143,4.278571429,4.45,4.3,4.357142857,4.157142857,4.185714286,4.3,4.057142857,4.242857143,4.085714286,4.142857143,4.271428571,4.221428571,4.057142857,4.178571429,4.207142857,4.071428571,4.207142857,4.35,4.05,4.042857143,4.35,4.064285714,4.335714286,4.278571429,4.264285714,4.271428571,4.392857143,4.421428571,4.128571429,4.307142857,4.278571429,4.192857143,4.228571429,4.192857143,4.285714286,4.278571429,4.121428571,4.2,4.1,4.242857143,4.528571429,4.235714286,4.228571429,4.285714286,4.285714286,4.229571429
