"[run number]","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50"
"Rate-of-connection","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4"
"add-people","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"connection-plot?","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false"
"Rate-of-interTeam-connection","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1"
"separation-plot?","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true"
"num-teams","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10"
"num-people","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20"
"[reporter]","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation"
,"0.9455517085654072","0.947388228210146","0.9470194189372272","0.9470871594159266","0.9494881830498269","0.9455140749661297","0.9452882733704652","0.9481333734758393","0.9461914797531236","0.9394926990817402","0.9500978473581213","0.9470645792563601","0.9451452656932109","0.9445807617040494","0.9459054643986151","0.9467635104621406","0.9481409001956947","0.9464248080686437","0.940448592503387","0.9459205178383261","0.9437904561192233","0.9404711726629534","0.9422775854282703","0.943880776757489","0.9438130362787897","0.9435270209242812","0.9468237242209845","0.9477946710823423","0.9414797531235888","0.9444904410657835","0.946786090621707","0.9463495408700888","0.9446710823423152","0.9449947312961011","0.9479376787595966","0.9454914948065632","0.9434141201264489","0.9425861809423454","0.9448968839379799","0.944234532590697","0.9456194490441066","0.949721511365347","0.941592653921421","0.9488559385819659","0.9466355562245973","0.9475161824476893","0.947124793015204","0.9456194490441066","0.941005569772693","0.9415324401625772"
,"0.9433091628213579","0.94433457848092","0.944554310407969","0.944825313117996","0.9459019995605361","0.9438365194462756","0.9431553504724236","0.9445103640225592","0.943580165531385","0.9430454845088991","0.9456236724529408","0.9439024390243902","0.943506921555702","0.9426865890280525","0.943873141434117","0.9439463854098","0.9448399619131327","0.9439756830000733","0.9436680583022047","0.9433238116164946","0.9419980956566323","0.943287189628653","0.9444444444444444","0.9423936131253204","0.9402475646378086","0.9446715007690617","0.9439610342049366","0.9453013989599356","0.9442686589028052","0.9428770233648283","0.9441148465538709","0.9436021387240899","0.9428037793891453","0.9427964549915769","0.9445689592031056","0.9434922727605655","0.9467150076906174","0.94467882516663","0.9432066212554018","0.9453892917307551","0.9437120046876144","0.9453233721526404","0.9441514685417124","0.9445762836006738","0.9462755438365195","0.9443052808906467","0.9440123049879148","0.9434043799897458","0.9440489269757563","0.9452647769720941"
,"0.9417540106951872","0.9429447415329768","0.94298752228164","0.9430231729055258","0.9435864527629233","0.9422745098039216","0.9416898395721925","0.9430231729055258","0.9420249554367202","0.9415329768270945","0.943379679144385","0.9423672014260249","0.9419750445632799","0.9411408199643494","0.942331550802139","0.942445632798574","0.943301247771836","0.9424028520499109","0.9421675579322638","0.9418609625668449","0.9404848484848485","0.9418039215686275","0.9430160427807487","0.940855614973262","0.9435650623885918","0.9431016042780749","0.9424028520499109","0.9437361853832442","0.9426096256684492","0.9413404634581105","0.9426452762923351","0.9420891265597148","0.9413832442067737","0.9413404634581105","0.9431515151515152","0.941903743315508","0.9442780748663102","0.9432156862745098","0.9416327985739751","0.9435080213903744","0.9421319073083779","0.943572192513369","0.942602495543672","0.9429376114081996","0.9446844919786096","0.9428877005347593","0.9428805704099822","0.9419108734402852","0.9439358288770053","0.9437147950089126"
,"0.9403555061796972","0.9414803499513956","0.9414664629912513","0.9415775586724066","0.9420983196778225","0.9407998889043189","0.9402721844188308","0.941522010831829","0.9405360366615748","0.9401333148173865","0.9419802805165949","0.9408068323843911","0.942931537286488","0.9397167060130538","0.9408901541452576","0.9407998889043189","0.9418552978752951","0.9409804193861964","0.9407304541035967","0.9404041105402028","0.9390362449659769","0.9402860713789751","0.9415358977919733","0.9393417580891543","0.9420219413970282","0.941653936953201","0.9413970281905291","0.9423066240799889","0.9411123455075684","0.9399736147757256","0.9412026107485072","0.942702402444105","0.9400569365365922","0.9399111234550757","0.9416192195528399","0.9403902235800583","0.9427787807248993","0.9421538675184002","0.940181919177892","0.9419455631162339","0.940674906263019","0.9444243855020136","0.9410220802666296","0.9415428412720456","0.9431815025690876","0.9416817108734898","0.9414525760311068","0.9404943757811415","0.9424385502013609","0.9421816414386891"
,"0.9389475108225108","0.9424039502164502","0.9400703463203464","0.9400838744588744","0.9405979437229437","0.9393601190476191","0.9389272186147186","0.9401582792207792","0.9391301406926407","0.9387581168831168","0.9406385281385281","0.9394345238095239","0.941504329004329","0.9384063852813853","0.9394886363636363","0.9402191558441558","0.9404829545454545","0.9395833333333333","0.9392518939393939","0.9389948593073593","0.9375879329004329","0.9389001623376624","0.9401041666666666","0.9380073051948052","0.9406452922077922","0.9402191558441558","0.9399621212121212","0.9409090909090909","0.9396239177489177","0.9386566558441558","0.939847132034632","0.941213474025974","0.9396374458874459","0.9385213744588745","0.940144751082251","0.9390016233766234","0.9413284632034632","0.9407129329004329","0.938778409090909","0.9405438311688312","0.9392654220779221","0.9430330086580087","0.9396645021645021","0.940144751082251","0.9418222402597403","0.9403409090909091","0.9404491341991342","0.9390963203463204","0.9410308441558441","0.9407873376623377"
,"0.9376441895722102","0.9409267681761255","0.9387779315799881","0.9386724672071716","0.9391668314547492","0.938000131830466","0.9376441895722102","0.9388240722430954","0.9378353437479402","0.937426669303276","0.9391536484081471","0.9380133148770681","0.9400830531935931","0.9371036846615253","0.9381319622964868","0.9388438468129985","0.9392129721178565","0.9382110605760992","0.9379539911673588","0.9376903302353173","0.9361676883527783","0.9376507810955111","0.9388240722430954","0.936853206776086","0.9392657043042647","0.9388965789994068","0.9385472282644519","0.9395689143761123","0.9381912860061961","0.9372750642673522","0.9385604113110539","0.9398391668314547","0.9382901588557115","0.9371300507547294","0.9392063805945554","0.937808977654736","0.9399182651110671","0.9393909432469844","0.9374530353964802","0.939120690791642","0.9401885175664096","0.941585920506229","0.9383428910421199","0.9386658756838705","0.9428514929800277","0.9389756772790192","0.9390877331751368","0.9378617098411443","0.9395689143761123","0.9394173093401885"
,"0.9363169054809484","0.9395553556512241","0.9375056223093234","0.9374349418492579","0.9399280344406605","0.9366831587740153","0.9364775428901883","0.9374734948274754","0.9378847265951294","0.9363104799845788","0.9378718756023903","0.936734562744972","0.9387907215832423","0.9367859667159288","0.9369209021396903","0.9376469832294545","0.9379682580479342","0.9369337531324294","0.9366446057957978","0.9364646918974491","0.9349225727687464","0.9364389899119707","0.9375313242948018","0.9356550793548801","0.9379939600334126","0.9376148557476065","0.9372614534472788","0.9381995759172396","0.9369658806142774","0.9360727366189038","0.9373192829146052","0.9388935295251558","0.9369851571033863","0.935879971727816","0.9379746835443038","0.9365225213647754","0.9385979566921545","0.9380582149971085","0.936149842575339","0.9378140461350639","0.9388357000578295","0.9403264152155754","0.9370815395489301","0.9377819186532159","0.941964916789822","0.9377048126967809","0.9377883441495856","0.9365546488466234","0.9381674484353917","0.9381353209535437"
,"0.9350375939849624","0.938295739348371","0.936296992481203","0.9384461152882205","0.9387092731829574","0.9355388471177944","0.9353258145363409","0.9361215538847117","0.9366353383458647","0.9350501253132832","0.9370802005012532","0.9355200501253133","0.937562656641604","0.9353884711779449","0.9356641604010025","0.936422305764411","0.9367919799498747","0.9357268170426065","0.9354699248120301","0.9352318295739348","0.9337844611528822","0.935187969924812","0.9362907268170426","0.9345363408521303","0.936735588972431","0.9364348370927318","0.9359774436090226","0.9369799498746867","0.9358709273182957","0.9349122807017544","0.9360651629072682","0.9375751879699248","0.9357832080200501","0.9346679197994987","0.9367481203007518","0.9352318295739348","0.9374248120300752","0.9368609022556391","0.936109022556391","0.9366102756892231","0.9376691729323309","0.939047619047619","0.937875939849624","0.9366040100250627","0.9406516290726817","0.9364849624060151","0.9366040100250627","0.9353320802005013","0.9369987468671679","0.9368170426065163"
,"0.9338711648942672","0.9371226011490038","0.9350690624618018","0.9371592714827038","0.9374220755408874","0.9342745385649676","0.9341828627307175","0.935001833516685","0.9354907712993522","0.9338467180051339","0.9357963574135191","0.934353990954651","0.936407529641853","0.9341523041193008","0.9366336633663367","0.9350812859063684","0.935704681579269","0.9345190074563012","0.9342378682312675","0.9341217455078841","0.9325449211587825","0.9341217455078841","0.9351546265737685","0.9333822271116","0.9354846595770688","0.9352096320743185","0.9347756997922014","0.9361569490282362","0.9347084708470847","0.934085075174184","0.9348918225155849","0.9363036303630363","0.9356985698569857","0.9335839139469503","0.935704681579269","0.9340056227845007","0.9362241779733529","0.935649676078719","0.9349162694047183","0.9354113189096688","0.9365236523652365","0.9376971030436377","0.93673145092287","0.9354052071873854","0.9393900501161228","0.9352829727417186","0.9354113189096688","0.9341828627307175","0.9357963574135191","0.9355946705781689"
,"0.9350289224163635","0.9359413202933985","0.9343848768561035","0.9359890273719363","0.9362037092253563","0.9331444928141213","0.9331564195837557","0.9337646848351124","0.9347784602540402","0.9326972389528296","0.9344922177828136","0.9332339435863797","0.9352257141153318","0.9329357743455186","0.9354881030472897","0.9339614765340808","0.9345160713220824","0.9333591746675413","0.933162382968573","0.9329775180392391","0.9314926352197507","0.9331862365078418","0.9339316596099946","0.9323632894030652","0.9344266205498241","0.9340926710000597","0.9337348679110263","0.9350647027252669","0.9335559663665096","0.9330729321963146","0.9338123919136502","0.9351899338064286","0.934587631939889","0.932679348798378","0.9344981811676307","0.9329477011151529","0.9350885562645358","0.9344981811676307","0.9337766116047469","0.9344027670105552","0.9353211282724074","0.9364839883117657","0.9355477368954619","0.9343013894686624","0.9382431868328464","0.9341761583875008","0.9342536823901246","0.933031188502594","0.9346353390184269","0.9343610233168347"
,"0.9339211920144346","0.9348117106105581","0.9353355450788662","0.9369827134625458","0.9350910889936558","0.9321576159711309","0.9322216401839241","0.9326872708224201","0.9335952505674874","0.9316337815028228","0.9334730225248822","0.9322391013328677","0.934020138525115","0.9319131598859205","0.9343810022699494","0.9329200861416681","0.933496304056807","0.9325184797159654","0.9321343344392061","0.9319480821838076","0.9306966998428496","0.9322449217158489","0.9329084453757057","0.9312670973750072","0.933350794482277","0.9330073918863862","0.9326290669926082","0.9340026773761714","0.9324719166521157","0.9320994121413189","0.9327454746522321","0.9340492404400209","0.9334497409929573","0.9315755776730109","0.9334613817589197","0.9318898783539957","0.9339677550782841","0.9334148186950701","0.9327629358011758","0.9332518479715965","0.9344508468657238","0.9353122635469414","0.9344159245678365","0.9345090506955358","0.9370350969093766","0.9331296199289913","0.9331878237588034","0.9320644898434317","0.9335603282696001","0.9332111052907281"
,"0.9328730537561086","0.9337083759518127","0.9342084327764518","0.9358222525286964","0.934066371178543","0.9311910444368678","0.9311683145812024","0.932077508807819","0.9324923286737129","0.9306625752926468","0.9325321059211275","0.9312137742925333","0.9329867030344358","0.9328389589726105","0.9332253665189226","0.9337595181270599","0.9323673144675532","0.931418342993522","0.9312194567564496","0.9309807932719627","0.9296795090351176","0.9312762813956131","0.9318615751789976","0.9322309353335606","0.932236617797477","0.9319411296738266","0.9336117740652347","0.9329185134674395","0.9314297079213547","0.9310546653028753","0.9316854187975906","0.9329071485396068","0.9327309921581998","0.9304182293442437","0.9323900443232186","0.9308955563132174","0.9328616888282759","0.932333219684055","0.9317422434367542","0.932157063302648","0.9334640300034095","0.9342311626321173","0.9333049210137515","0.9335265371064894","0.9381350153426525","0.9320945561995682","0.9321854756222298","0.9309637458802137","0.9325491533128765","0.9322991249005569"
,"0.9317036625971143","0.9326137624861265","0.933274139844617","0.9347169811320755","0.932930077691454","0.9301997780244173","0.9302497225305216","0.9311098779134295","0.9314428412874584","0.9297447280799113","0.9315149833518312","0.9303274139844617","0.9319977802441731","0.9318534961154273","0.932291897891232","0.9327691453940067","0.9330466148723641","0.9303718091009989","0.9301720310765815","0.9300332963374028","0.9287180910099889","0.9302830188679245","0.9309045504994451","0.9311931187569368","0.9331908990011099","0.9313596004439512","0.932630410654828","0.9319422863485016","0.9310821309655938","0.9300665926748057","0.9307602663706992","0.9318257491675915","0.9317813540510543","0.9295283018867925","0.9313651498335183","0.9298335183129856","0.9318645948945616","0.9312985571587126","0.9307325194228635","0.9310543840177581","0.9324361820199778","0.9331908990011099","0.9324750277469478","0.9326082130965594","0.9370199778024417","0.9310488346281909","0.9311709211986682","0.9300610432852386","0.93157602663707","0.9312319644839068"
,"0.9306824957987748","0.9320919390686833","0.9323033555591695","0.933636905729929","0.9318859435138505","0.9292730525288665","0.9293381037567084","0.9302434000108418","0.9306228655065865","0.9287689055130915","0.930563235214398","0.9294085759202039","0.931002331002331","0.930958963517103","0.9313275871415406","0.9317937876077411","0.932222041524367","0.9293706293706294","0.9292838944001734","0.9289749010679244","0.9278093999024232","0.929332682821055","0.9300157207133951","0.9301620859760394","0.9322111996530601","0.9303518187239117","0.9316040548598689","0.930937279774489","0.930134981297772","0.9291646338157966","0.9297880414159484","0.9308884913536076","0.9307854935761912","0.9286659077356751","0.9303084512386838","0.9289261126470428","0.9308939122892611","0.9302976093673768","0.9297663576733344","0.9300645091342766","0.9314360058546105","0.9321949368460997","0.9315010570824525","0.9316148967311758","0.9358269637339405","0.9300645091342766","0.9302162953325744","0.9291321082018756","0.9306228655065865","0.9305740770857049"
,"0.9297897134382118","0.931082154775147","0.9312887335134277","0.9325123152709359","0.9309497325070184","0.9284337094125749","0.9283860373960485","0.9292229461306213","0.9296572911700831","0.9279887705916627","0.929614916044282","0.9285555378992532","0.9300651517559193","0.9300969331002702","0.9303511838550771","0.9308384978017904","0.9312198739340007","0.9285555378992532","0.9284284125218497","0.9281158959690662","0.9268340484135812","0.9301181206631707","0.9292017585677207","0.9291805710048202","0.9313364055299539","0.9294083373060014","0.9306107315006091","0.9299698077228666","0.9291699772233699","0.9282112400021187","0.9288733513427618","0.9315694687218603","0.9298532761269135","0.9277980825255575","0.929466603103978","0.9280894115154404","0.9299592139414163","0.929429524868902","0.9287197415117326","0.9291064145346681","0.930494199904656","0.931230467715451","0.9305259812490069","0.9306584035171355","0.9347687907198474","0.9295248689019545","0.9292812119285979","0.9282536151279199","0.9295460564648551","0.9297685258753112"
,"0.9287171256989024","0.9300320977428039","0.9304203768896252","0.9320977428038931","0.9300010354110582","0.9276765375854215","0.92750569476082","0.9283650859391178","0.92886726030234","0.9271381238351626","0.9287430109753572","0.9276351211430938","0.9291054048457238","0.9291416442327604","0.9294522675502175","0.9297939531994202","0.9301822323462414","0.9276972458065852","0.9274642783184924","0.927200248498654","0.9259732863946987","0.9292296541727065","0.9283754400496997","0.9281787119486437","0.9304255539449161","0.9285411058190102","0.9295299233795817","0.9307983019258645","0.928349554773245","0.9273452060468006","0.928033754400497","0.9307051149306275","0.9289552702422862","0.9270138745081797","0.9286394698695382","0.9272779043280183","0.9291002277904328","0.9285462828743011","0.9277334851936219","0.9283236694967902","0.929607579208946","0.9301770552909505","0.9296282874301097","0.9297680679229654","0.9337233381652517","0.9286239387036653","0.9284738041002278","0.9275315800372748","0.9287067715883206","0.9289034996893767"
,"0.927826703107602","0.9291831156999696","0.9299018119242838","0.9312025508654722","0.9290515234335459","0.9269156797246685","0.9266322502277559","0.9274724162364612","0.9279684178560583","0.926379188176941","0.9278924992408139","0.9268751897965382","0.929137564530823","0.9283075210041503","0.9286618078752911","0.9289098086850895","0.9293096467253771","0.9268701285555219","0.9265462091304788","0.926379188176941","0.9251594290920133","0.9283986233424436","0.9275787022978034","0.9272902115598745","0.9294918514019638","0.9276040085028849","0.9291426257718393","0.9298613219961535","0.9273560076930863","0.9264804129972669","0.92721429294463","0.929785403380909","0.928064581435368","0.9261969835003543","0.9277710294564228","0.9265057192023484","0.9282670310760198","0.9276698046360967","0.9269156797246685","0.9275331511286568","0.9286972365624051","0.9293551978945237","0.9287731551776496","0.9289098086850895","0.9326854944832473","0.9277912744204879","0.9276546209130478","0.9266626176738536","0.9277963356615042","0.9299473630934305"
,"0.9269784706755754","0.9283791140806731","0.9289878742885425","0.9303835684236575","0.9282355852511754","0.9260529571888146","0.9258500371195248","0.9266864637465974","0.9272457312546399","0.9256471170502351","0.9270279633754022","0.92815144766147","0.9282652808710715","0.9273447166542935","0.9277753031427864","0.9281613462014353","0.9284533531304132","0.9279782232120762","0.9258054936896808","0.9256223707003217","0.9244889878742886","0.9276070279633754","0.9266914130165801","0.9272556297946053","0.928611729769859","0.9267458549863895","0.9282405345211582","0.9308389012620638","0.9285671863400149","0.9257906458797327","0.9264439495174461","0.9287602078693393","0.9282702301410541","0.9254441969809453","0.9269091808958179","0.9256223707003217","0.927443702053947","0.9269141301658006","0.9262311309081911","0.9268596881959911","0.9278841870824054","0.9284780994803267","0.9279534768621628","0.9280079188319723","0.9317644147488245","0.9269933184855234","0.9274536005939124","0.9258005444196981","0.9270131155654541","0.9290621133382826"
