"BehaviorSpace results (NetLogo 6.3.0)"
"Version-1.nlogo"
"experiment-2"
"03/27/2023 18:16:42:613 +0530"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-13","13","-13","13"
"[run number]","1","2","3","4","5","6","7","8","9","10","11"
"Rate-of-connection","0","0.1","0.2","0.3","0.4","0.5","0.6","0.7","0.8","0.9","1"
"add-people","2","2","2","2","2","2","2","2","2","2","2"
"num-teams","5","5","5","5","5","5","5","5","5","5","5"
"num-people","10","10","10","10","10","10","10","10","10","10","10"
"[reporter]","2 * (count links) / (count turtles)","2 * (count links) / (count turtles)","2 * (count links) / (count turtles)","2 * (count links) / (count turtles)","2 * (count links) / (count turtles)","2 * (count links) / (count turtles)","2 * (count links) / (count turtles)","2 * (count links) / (count turtles)","2 * (count links) / (count turtles)","2 * (count links) / (count turtles)","2 * (count links) / (count turtles)"
"[final]","0.044444444444444446","5.315555555555555","11.026666666666667","14.337777777777777","20.915555555555557","26.27111111111111","26.115555555555556","30.622222222222224","36.41777777777778","30.54222222222222","31.102222222222224"
"[min]","0.044444444444444446","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4"
"[max]","0.4","5.315555555555555","11.026666666666667","14.337777777777777","20.915555555555557","26.27111111111111","26.115555555555556","30.622222222222224","36.433035714285715","30.5625","31.102222222222224"
"[mean]","0.11042678932773069","2.9812100984643286","6.099969979322855","7.64465229124735","10.589772443193532","13.504356548681177","13.912918429142815","15.99998100683817","19.23954973544769","16.60804607018313","16.890774287972416"
"[steps]","200","200","200","200","200","200","200","200","200","200","200"

"[all run data]","2 * (count links) / (count turtles)","2 * (count links) / (count turtles)","2 * (count links) / (count turtles)","2 * (count links) / (count turtles)","2 * (count links) / (count turtles)","2 * (count links) / (count turtles)","2 * (count links) / (count turtles)","2 * (count links) / (count turtles)","2 * (count links) / (count turtles)","2 * (count links) / (count turtles)","2 * (count links) / (count turtles)"
,"0.18518518518518517","1.2407407407407407","2.2037037037037037","2.9444444444444446","3.7222222222222223","4.462962962962963","5.462962962962963","5.777777777777778","6.351851851851852","6.703703703703703","7.166666666666667"
,"0.18181818181818182","1.290909090909091","2.309090909090909","3.036363636363636","3.8727272727272726","4.490909090909091","5.672727272727273","6.054545454545455","6.363636363636363","6.890909090909091","7.109090909090909"
,"0.17857142857142858","1.3035714285714286","2.375","3.125","3.9464285714285716","4.625","5.821428571428571","6.232142857142857","6.75","7.160714285714286","7.357142857142857"
,"0.17543859649122806","1.3508771929824561","2.473684210526316","3.192982456140351","4.087719298245614","4.754385964912281","5.964912280701754","6.157894736842105","7.140350877192983","7.350877192982456","7.56140350877193"
,"0.1724137931034483","1.3620689655172413","2.5344827586206895","3.2413793103448274","4.224137931034483","4.775862068965517","6.0344827586206895","6.258620689655173","7.275862068965517","7.327586206896552","7.775862068965517"
,"0.1694915254237288","1.3898305084745763","2.542372881355932","3.3389830508474576","4.372881355932203","4.915254237288136","6.186440677966102","6.47457627118644","7.677966101694915","7.508474576271187","7.966101694915254"
,"0.16666666666666666","1.4166666666666667","2.55","3.3833333333333333","4.516666666666667","5.083333333333333","6.283333333333333","6.683333333333334","7.783333333333333","7.65","8.266666666666667"
,"0.16393442622950818","1.4426229508196722","2.6065573770491803","3.4262295081967213","4.540983606557377","5.262295081967213","6.508196721311475","6.885245901639344","8.081967213114755","7.868852459016393","8.573770491803279"
,"0.16129032258064516","1.467741935483871","2.629032258064516","3.5","4.612903225806452","5.419354838709677","6.532258064516129","7.048387096774194","7.951612903225806","8.064516129032258","8.612903225806452"
,"0.15873015873015872","1.4761904761904763","2.7301587301587302","3.5396825396825395","4.666666666666667","5.603174603174603","6.761904761904762","7.111111111111111","8","8.079365079365079","8.80952380952381"
,"0.15625","1.484375","2.78125","3.609375","4.71875","5.765625","6.84375","7.296875","7.9375","8.375","9.03125"
,"0.15384615384615385","1.5076923076923077","2.8923076923076922","3.646153846153846","4.8307692307692305","5.8","6.969230769230769","7.323076923076923","8.307692307692308","8.307692307692308","9.215384615384615"
,"0.15151515151515152","1.5303030303030303","3","3.757575757575758","4.893939393939394","5.954545454545454","7.0606060606060606","7.681818181818182","8.393939393939394","8.575757575757576","9.257575757575758"
,"0.14925373134328357","1.5820895522388059","3.1044776119402986","3.8656716417910446","5.059701492537314","6.149253731343284","7.1940298507462686","8.029850746268657","8.611940298507463","8.761194029850746","9.238805970149254"
,"0.14705882352941177","1.6323529411764706","3.176470588235294","3.8970588235294117","5.102941176470588","6.294117647058823","7.4411764705882355","7.911764705882353","8.588235294117647","8.75","9.25"
,"0.14492753623188406","1.6376811594202898","3.2753623188405796","3.9855072463768115","5.159420289855072","6.333333333333333","7.681159420289855","8.27536231884058","8.985507246376812","8.652173913043478","9.507246376811594"
,"0.14285714285714285","1.6857142857142857","3.3","4.071428571428571","5.257142857142857","6.442857142857143","7.685714285714286","8.185714285714285","8.957142857142857","8.871428571428572","9.528571428571428"
,"0.14084507042253522","1.7183098591549295","3.3943661971830985","4.154929577464789","5.323943661971831","6.47887323943662","7.830985915492958","8.338028169014084","9.126760563380282","9","9.704225352112676"
,"0.1388888888888889","1.7638888888888888","3.4583333333333335","4.236111111111111","5.361111111111111","6.694444444444445","7.972222222222222","8.694444444444445","9.125","9.36111111111111","9.86111111111111"
,"0.136986301369863","1.8082191780821917","3.547945205479452","4.301369863013699","5.4520547945205475","6.726027397260274","8.191780821917808","8.712328767123287","9.356164383561644","9.67123287671233","9.986301369863014"
,"0.13513513513513514","1.837837837837838","3.635135135135135","4.378378378378378","5.635135135135135","6.824324324324325","8.297297297297296","8.77027027027027","9.486486486486486","9.878378378378379","10.094594594594595"
,"0.13333333333333333","1.88","3.6266666666666665","4.4","5.733333333333333","6.8133333333333335","8.506666666666666","8.84","9.893333333333333","10","9.986666666666666"
