"BehaviorSpace results (NetLogo 6.3.0)"
"Version-1.nlogo"
"experiment"
"03/27/2023 18:06:07:028 +0530"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-13","13","-13","13"
,"10","14","10","16","10","12","10","12","14","12","10","14","10","10","16","12","12","12","14","10","12","14","12","10","12","10","12","10","10","18","12","12","14","10","12","14","14","12","10","10","10","14","14","12","10","10","16","10","12","12","14","12","14","10","10"
,"12","14","10","16","10","12","10","12","14","14","10","14","10","10","18","12","12","12","14","12","12","16","12","10","12","10","12","10","10","20","12","12","16","10","12","14","16","12","10","10","10","14","14","12","12","10","18","10","12","12","14","12","16","10","10"
,"12","14","10","18","10","14","10","12","14","14","10","16","10","10","18","12","12","12","16","12","14","16","12","10","12","12","12","10","10","20","14","12","16","10","12","14","16","12","12","10","10","14","16","12","12","12","18","10","12","12","14","12","16","10","12"
,"12","14","10","20","10","14","12","12","14","14","10","16","12","10","18","12","12","12","16","14","14","16","12","12","12","14","12","10","10","20","14","12","16","12","12","14","18","12","12","10","10","14","18","12","12","12","18","10","12","14","14","12","18","10","12"
,"12","14","10","22","10","16","12","12","14","14","10","16","14","10","18","14","12","12","16","14","14","16","14","12","12","14","14","10","10","20","14","12","16","12","14","14","18","14","12","10","12","14","18","12","12","12","18","10","12","16","14","12","18","10","14"
,"12","14","10","24","10","16","12","12","16","14","10","16","14","10","20","14","12","12","18","14","14","16","16","12","12","14","14","10","12","20","16","12","16","12","14","14","18","14","14","10","12","16","18","12","12","12","18","10","12","18","14","12","18","10","16"
,"12","14","10","24","12","16","12","14","16","14","10","18","14","10","20","14","12","12","20","14","14","16","18","12","12","14","14","10","12","22","18","12","16","12","14","14","18","16","14","10","12","16","18","12","14","12","20","10","12","18","14","12","18","10","18"
,"12","14","10","26","12","16","12","16","16","14","12","18","14","10","20","14","14","12","20","14","16","16","18","12","12","14","14","10","12","24","18","12","18","12","14","14","20","16","14","10","12","18","18","12","14","12","20","10","12","20","14","12","18","10","20"
,"12","16","10","26","12","18","12","16","16","14","12","18","16","10","20","14","16","12","20","14","16","16","18","14","12","14","14","10","12","26","18","14","18","12","14","14","20","18","14","10","12","20","18","12","14","12","22","10","12","20","14","12","18","10","22"
,"12","16","10","28","12","18","14","16","16","14","12","18","16","10","22","14","16","12","22","14","16","18","18","14","12","16","14","10","12","26","18","16","18","12","14","14","22","18","14","10","12","20","20","12","14","12","24","10","12","20","16","12","18","10","22"
,"12","18","10","28","12","18","14","16","18","14","12","20","16","10","22","14","16","12","22","16","16","18","18","14","14","16","14","10","12","28","18","16","20","12","14","14","22","20","14","10","12","20","20","12","16","12","24","12","12","20","16","12","18","10","24"
,"12","18","10","28","14","18","16","16","18","14","12","20","18","10","22","16","16","12","22","16","16","18","20","14","14","16","14","10","12","30","18","18","20","12","14","16","22","20","14","10","12","20","20","12","18","12","24","12","14","20","16","12","20","10","24"
,"12","20","10","28","14","20","16","16","18","14","12","20","18","10","24","16","16","12","22","18","18","18","20","14","14","16","14","10","12","32","18","18","22","12","14","16","22","20","14","12","12","22","20","12","18","14","24","12","14","20","16","12","22","10","24"
,"14","20","10","28","14","20","16","18","18","14","12","20","20","10","24","16","18","12","22","18","18","20","20","14","14","16","14","10","12","34","18","18","24","12","14","16","24","20","14","12","12","22","22","12","18","16","24","12","14","20","16","12","22","10","26"
,"14","22","10","28","14","22","16","18","18","14","12","20","20","10","26","16","18","12","22","20","20","20","20","14","14","16","14","10","12","36","18","20","24","12","14","16","24","22","14","12","12","22","22","12","20","16","24","12","14","22","16","12","22","10","28"
,"14","22","10","30","14","24","16","18","18","14","12","20","22","10","26","16","20","12","22","20","20","20","20","16","14","16","14","10","14","36","18","20","24","12","16","18","24","22","14","12","12","22","22","12","22","16","24","12","16","22","16","12","22","10","30"
,"16","22","10","30","14","24","18","18","18","14","12","20","22","10","28","16","20","12","22","22","20","20","20","18","14","16","16","10","14","36","18","22","24","12","16","18","24","22","16","12","12","22","22","12","24","16","24","12","16","24","16","12","22","10","32"
,"18","22","10","30","14","24","18","18","20","14","12","20","22","10","30","18","20","12","22","22","22","20","20","18","14","16","16","10","14","38","18","22","24","14","16","18","24","22","18","12","12","24","22","12","24","16","24","12","16","26","16","12","24","10","32"
,"20","22","10","30","14","26","18","18","20","14","12","22","22","10","30","18","20","14","22","22","22","22","20","18","14","16","16","10","14","40","18","22","26","14","16","18","24","22","18","14","12","24","24","12","24","16","24","12","18","26","16","12","24","12","32"
,"22","22","10","30","14","28","18","18","20","14","12","24","22","10","30","18","20","16","22","22","24","22","20","18","14","16","16","12","14","40","18","22","28","14","16","18","24","22","18","16","12","26","24","12","24","16","26","12","18","26","16","12","24","12","34"
,"22","22","12","30","14","28","18","18","22","14","12","26","22","10","30","18","20","16","24","22","26","22","20","18","14","18","16","12","14","40","18","22","28","16","16","18","26","22","18","16","14","26","24","12","24","16","28","12","18","26","16","14","24","12","34"
