who,color,heading,xcor,ycor,shape,label,label-color,breed,hidden?,size,pen-size,pen-mode,team-number,manager?,visited?
284,63,356,-4.319756474,4.39756405,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",4,0,TRUE
285,63,356,-4.319756474,4.39756405,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",4,0,TRUE
286,63,356,-4.319756474,4.39756405,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",4,0,TRUE
287,63,356,-4.319756474,4.39756405,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",4,0,TRUE
288,63,356,-4.319756474,4.39756405,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",4,0,TRUE
289,63,356,-4.319756474,4.39756405,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",4,0,TRUE
290,26,147,0.85,0.85,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",1,0,TRUE
291,26,147,0.85,0.85,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",1,0,TRUE
292,26,147,0.85,0.85,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",1,0,TRUE
293,26,147,0.85,0.85,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",1,0,TRUE
294,26,147,0.85,0.85,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",1,0,TRUE
295,19,19,-2.224431846,8.595518576,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",5,0,TRUE
296,19,19,-2.224431846,8.595518576,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",5,0,TRUE
297,19,19,-2.224431846,8.595518576,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",5,0,TRUE
298,19,19,-2.224431846,8.595518576,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",5,0,TRUE
299,19,19,-2.224431846,8.595518576,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",5,0,TRUE
300,63,356,-4.319756474,4.39756405,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",4,0,TRUE
301,63,356,-4.319756474,4.39756405,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",4,0,TRUE
302,63,356,-4.319756474,4.39756405,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",4,0,TRUE
303,63,356,-4.319756474,4.39756405,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",4,0,TRUE
304,63,356,-4.319756474,4.39756405,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",4,0,TRUE
305,117,290,5.010307379,8.842020143,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",9,0,TRUE
306,117,290,5.010307379,8.842020143,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",9,0,TRUE
307,117,290,5.010307379,8.842020143,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",9,0,TRUE
308,117,290,5.010307379,8.842020143,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",9,0,TRUE
